	S1a	S1b	S1c	S2a	S2b	S2c	S3a	S3b	S3c
9d48025ccb2942c835adf94a8dc538ff	0	0	0	3	0	0	0	0	0
53c7e24ec5ac0284c8e5bf00d48b9d8c	4	0	0	0	0	0	0	0	0
d055d3fa34c3320d98603307bb82cfd8	0	0	0	0	0	0	11	0	0
15da019a1dfa31a34695e4dcb570acb9	0	0	120	0	0	0	0	0	0
60a738ec8539488c0cbae89e0f3162cb	0	0	0	0	21	0	0	0	0
cef62f0d6d6876e7484cb1c55aac25fb	0	0	0	3	0	0	0	0	0
c65813d1ae1100d175713412b73096bf	0	0	0	0	0	0	70	0	0
329986a69bed52309c1d8decfccbb6ab	83	0	0	0	0	0	0	0	0
4a2fb80bff2abe504058f5bbe87302e0	0	30	0	0	0	0	0	0	0
fa822f9ac2e659e4b3945ae7d1d19530	0	25	0	0	0	0	0	0	0
f7eaa8aca7a3d94ef69bc97bfd2bd0c5	0	0	0	0	37	0	0	0	0
ed6e71f52285ace1fdf8839790e92f95	0	0	0	0	0	90	0	0	0
0acadd37cb66c9319da0a5b5a9845b67	0	0	0	0	0	0	6	0	0
038a140312d3b8127b011b176bf169ab	0	0	0	5	0	0	0	0	0
a6aa6df276faeeb6d7cb7623429973fb	0	0	0	0	0	0	0	0	50
e115443fd846c0da65b4f4adb5cdb672	0	115	0	0	0	0	0	0	0
d826268250589ec77364f8d95e635591	0	0	0	0	5	0	0	0	0
130ea02f796913329a368c75beb8106b	0	0	0	0	37	0	0	0	0
1939ffc911ff898a8496b0765ae89d7a	0	0	0	0	4	0	0	0	0
afa6408ec5e166cb4773e0840948ea0d	0	0	0	0	5	0	0	0	0
1f920eb43440eb237d9ccbeb3032011b	0	0	0	25	0	0	0	0	0
e290ea4d40bff39745e1466e29dcf328	0	0	0	0	5	0	0	0	0
8bc80217ee9f45d651d2b73b55ab2583	0	0	0	23	0	0	0	0	0
a577f9da9e3a74cd2c4c65e61433d456	0	0	0	0	0	0	40	0	0
3c8af3d1d3a8aba7a1eb4eb119e383dd	0	0	0	0	0	0	0	0	49
200f2a59f52ff21fdbefbb2a16ea0a94	0	0	10	0	0	0	0	0	0
172b1f21f43373286c9e22ac73f8a98c	0	0	77	0	0	0	0	0	0
46d8e6567afe659782d5572733221632	0	0	0	0	5	0	0	0	0
ba2b4c40ab3693421a2c3123bb7d511a	0	0	0	0	0	0	50	0	0
1155274ada67285f46733c235201858b	0	0	0	0	0	0	0	3	0
ccd9b354fd13b1f62ace2ff4e0ee25d4	0	0	0	0	0	0	0	0	2
7152754f21e7c11909e2df5eeb1198a5	0	0	0	0	0	0	61	0	0
6013ff2b56513989cd5ccc53ada04b61	0	2	0	0	0	0	0	0	0
548d097e240f1891c9c93b0b063afacf	0	0	0	0	0	0	0	0	8
819a74ad48554851610c3b9d3b0cbc15	0	0	0	0	8	0	0	0	0
c2fa5ad354aac8cf7526e6ea15e202d2	0	8	0	0	0	0	0	0	0
651a9c9c7ed9e6f5433d2f9fb3aac47b	0	0	0	0	0	0	6	0	0
127a825524a31620e2c68f13d23cb40e	0	0	8	0	0	0	0	0	0
64bdb9b33c32daea110bc6c3b1d80c24	0	0	0	92	0	0	0	0	0
e9fc5121bda5f2afdf9429066c90cb57	0	0	0	0	100	0	0	0	0
531319d0a8367dedb2f1fef9c9885cd2	0	0	0	0	0	0	63	0	0
69099da2772d12064ae82e3d7e427d07	0	0	0	0	0	0	0	0	73
995e9355df8d1d347afd9df23762f0ff	0	0	0	0	0	0	0	3	0
1e4fee618f06341d8dc9e3d8059d89a1	0	0	3	0	0	0	0	0	0
491077fe8903a99c6939a96cef2f9f3c	0	0	0	0	0	13	0	0	0
9c871139b29dbc1c86f1a262734fd24e	0	0	0	0	0	0	0	0	51
f029cada85926eac3cfc99ea08ae7f07	0	2	0	0	0	0	0	0	0
02a9dc699ec2c0d24c8a486e0624eb71	0	8	0	0	0	0	0	0	0
ec06e272c0a49b7b23471bf72cef5c98	4	0	0	0	0	0	0	0	0
20b78380cb89ca1e7212ec1a875b7a29	0	0	0	0	0	0	0	9	0
c4d213cc2ba176b733b38189c308aa59	0	0	0	0	0	0	0	5	0
d5a6dd69b724c1f95edaa9ea34959a6e	12	0	0	0	0	0	0	0	0
fb27b39a4dbc00d241b7172d142b7f62	0	0	32	0	0	0	0	0	0
85cc005136267ecfba02997c12a283f5	0	0	0	0	3	0	0	0	0
0417061c1002293d9163ac0df79cf497	0	0	2	0	0	0	0	0	0
e2d1e1036f5a2acdafb51e104e9de2e3	0	0	0	0	0	0	0	0	4
fc0731456013fcc83cc14ff945b0bfbf	0	0	0	23	0	0	0	0	0
db762f6caa7722f204c3770b834c7471	0	0	0	0	0	0	4	0	0
88b330b7f8ddb8c4820c95d4722e8408	0	0	125	0	0	0	0	0	0
7c4b59a1f785dcad5e7ae6712e8bb198	0	0	0	0	0	5	0	0	0
8eee1d387e8c0cda066aeaae88e6192d	0	0	0	0	0	32	0	0	0
acb21675f60f30eb64b815adee11e52c	0	12	0	0	0	0	0	0	0
29f0b6209f19356a5565fafc266b6ffc	0	0	0	0	2	0	0	0	0
7deb9d7bd325a3e5ef3910b9ac42fe9b	0	43	0	0	0	0	0	0	0
eb669733d766fab0f7eef1a976ad7406	0	0	0	0	0	0	70	0	0
cee14029382ca5a18084983a4e1a7c3f	38	0	0	0	0	0	0	0	0
4996ef6cd78cf8181751f7ad02a0c494	0	0	0	0	0	0	0	0	6
79a2566b2a5e7f32e0dcc3fc17a162de	0	0	0	0	0	39	0	0	0
4026b74e7593e3f518a836487e78a5ae	0	0	0	16	0	0	0	0	0
056861050e0545665efb235853157aa7	0	12	0	0	0	0	0	0	0
ef68e862efc2406cb4fda4c0efacb3d1	0	0	0	0	0	0	22	0	0
c26017116488394a41c01a212e03fe32	0	6	0	0	0	0	0	0	0
c6e4537abb5527ec8ae7838172a7a733	0	0	0	0	0	0	0	6	0
9f495412d667f6d02245b0bac09ddc65	0	0	0	0	0	0	0	0	110
75ec855ca3c1406e8183c2748a527a5b	2	0	0	0	0	0	0	0	0
8fbecfe68e9bbaad20b483d091444258	0	0	0	0	0	0	34	0	0
499f064b7da0bf5c360937e83cbc9af5	0	0	16	0	0	0	0	0	0
23ab13f4f3a638ca282294acdbad91bf	0	77	0	78	0	0	0	0	0
4b4fc9fad72632917d563fb0febc0f3b	0	0	0	0	0	0	0	0	5
05c32c5bb13b429e849c48a37fef49ca	0	0	0	0	0	0	0	0	61
0922da36ceff559c8c1c390bacb552ea	0	0	0	0	10	0	0	0	0
5436860c3bd059c22feb730718041a5b	0	0	0	0	0	36	0	0	0
89115b3866a33f8812feb61d0d80cc3a	0	0	0	0	0	0	0	117	0
4b794e0a9320f5ffab3d903de2d0ac7b	0	0	0	0	20	0	0	0	0
9c78f1e7e32fcbf82179451cfa0592cc	0	0	0	0	0	0	0	0	48
7936a16ccecfc4fa0f743bee2a3a01f1	0	0	26	0	0	0	0	0	0
4310d1e6ea18a2fd3b98586fbe20a54e	0	15	0	0	0	0	0	0	0
26e7c4254414f6f0b7f5b4f596bd1aab	0	0	0	0	0	30	0	0	0
e02dbd9d2daa1c1bba76e7446ca196cb	0	0	0	0	0	0	0	0	47
873c3ca59e1fd0369cffe9e9ad775ef0	4	0	0	0	0	0	0	0	0
8def896f2c32b0a4cc3c4704c544ca0c	0	0	0	0	0	10	0	0	0
96119e4345131c6b86641680ffdf7ce6	0	0	2	0	0	0	0	0	0
777955f14b682e9f4236f05c35ac1b19	0	0	0	0	0	12	0	0	0
8ecf81e107ad2799e2220251b949ba8f	12	0	0	0	0	0	0	0	0
229efdbf35110a7a070d2ee702369c84	0	0	0	0	0	0	0	3	0
030ed5a81606189ddee4395ef371590e	0	0	0	0	0	0	0	23	0
074c0c249fde6b3bb34e79ea4b3d4a9a	0	0	0	0	0	0	2	0	0
9e83b9de9741212f33afdec94179210c	0	0	0	0	0	0	4	0	0
8c26b912a5d8a3662c0be4d122009114	0	0	11	0	0	0	0	0	0
1c8042e57d000fd8dd2308a6723781f1	0	0	0	0	0	0	0	14	0
2cf1cb487556f2cc6205fe1b7ae1da37	0	0	0	0	0	0	12	0	0
40581f28c140f2846c9cb1f35f582d97	0	77	0	0	0	0	0	0	0
80f0a1f5a81b68c76f2dde86e486a48a	0	0	0	0	0	0	0	6	0
a8be2e2df6a74ce5ef442ad9e726222a	0	0	4	0	0	0	0	0	0
be2fed90bf280a7297ddfc0aa5d87518	0	0	0	0	0	33	0	0	0
474b72e2d12c8a3cab5e17ac82eb0e0f	0	0	0	0	0	0	14	0	0
4547a9ea014ce2eab07f2faed4d75937	0	0	0	0	0	0	0	0	8
a39bf7e1d13969d4298b883bf4b2a8e2	0	0	0	0	0	0	2	0	0
b32892b587154f2b36f51d06b31bf014	0	0	0	0	0	0	64	0	0
6da01759535fcf752d3f166c493ce428	0	0	0	0	0	0	59	0	0
8a6a352bf4ab5adf9ac1d381ca18ef35	0	69	0	0	0	0	0	0	0
7516e7fdfdb4139dfa91c2151f976fe5	0	0	91	0	0	0	0	0	0
f5160c41028202c9e560d53e3fdb23cd	0	0	0	7	0	0	0	0	0
06a63167e9693f95ec7b846dfb3995ce	0	0	0	0	0	0	0	77	0
b78e4f07b9455e08c8313a4144b6a44b	0	0	0	0	0	4	0	0	0
2c4722556bfa63265ae708664022dbee	0	0	8	0	0	0	0	0	0
332b936b586e1e9db98df95aa182916a	0	0	0	0	0	0	8	0	0
1111401de5453e619efd9426bc73b604	0	20	0	0	0	0	0	0	0
3cd1a686c1259508fbc1acb2c89047d1	13	0	0	0	0	0	0	0	0
ede3e0c8a3f109286c0bd02851ce012e	0	0	0	0	0	58	0	0	0
8d66a69352c6bba6a19c6c0f84d94da5	0	0	0	0	35	0	0	0	0
9bcaf27e4ae0ab34338f1fab2d8afe0e	0	0	4	0	0	0	0	0	0
c957b88b381e9fa89885aa4d9023f09f	0	0	0	0	74	0	0	0	0
87c7383a495476ea7e73c52e7fc1343c	0	0	0	0	0	37	0	0	0
cef1654236b87471251333a191175559	2	0	0	0	0	0	0	0	0
24c73ad05ca5e3f2c3037970f621fc18	0	0	0	0	0	0	3	0	0
d42d739ef638dc497f15e734cfd764ca	0	0	7	0	0	0	0	0	0
9c67d2b6ac53abec2be7a3847dce37b5	0	3	0	0	0	0	0	0	0
d289f2e9fffd37bbf056694b62e9462c	0	0	0	0	0	0	2	0	0
7e3b0738c706846e2b98049148abdc72	0	0	0	136	0	0	0	0	0
5e73859259a234dba4a88f47e6f959cd	0	0	0	0	0	0	0	0	5
42ccd951c833ec0de23d0143678a399c	0	0	0	0	0	0	0	0	26
dd38a798085842822daefd5fe6883f84	0	0	0	0	12	0	0	0	0
8ade78fd4b423978de8d4cbb37e08c16	0	0	0	15	0	0	0	0	0
6f8598d91cd3de1d409307bcf3ce7c7d	0	0	0	4	0	0	0	0	0
ad6c03211efdcedd13aa68507ed2835d	0	0	0	0	119	0	0	0	0
e45f1859e51b8209a9a0c023f7a9b7b7	0	0	0	0	0	0	0	0	32
709f4b82c8db459cb1155ff3e212a5ac	0	0	0	0	0	0	39	0	0
06ff08e7e4fbbac8cc71412d2b926a35	0	0	0	0	0	0	5	0	0
33a88cb40cd7c409dec5aea7f4237964	0	0	78	0	0	0	0	0	0
c93e4e6c33b53732b9872acd0ace460b	0	0	74	0	0	0	0	0	0
481c5c9d82c171ad1dd9158624a24bd4	0	0	0	0	0	89	0	0	0
9000f6dda65273dc7010b47166eb3fc2	0	0	0	30	0	0	0	0	0
dcee54d4bf41479987aa0810d9b08580	0	0	0	0	0	0	45	0	0
f25c3bdf0b435316a169b312e8c657ca	0	0	0	0	0	0	0	0	4
dda4a6d7535f7a96de2b81644866d8fe	0	39	0	0	0	0	0	0	0
d3eecab1a2c5098b9f275f951016d262	3	0	0	0	0	0	0	0	0
5b68b7f18e7749a92f896138594fc727	0	0	0	0	0	0	0	2	0
8f4dee02b354290a2fde0c10a763362e	0	0	2	0	0	0	0	0	0
4d4719f0a086719a0e79db8ff744a6a5	0	0	0	0	0	0	24	0	0
689f82ba7ebc7605ff875eb655820cc2	0	0	15	0	0	0	0	0	0
43ad8a72e4ee2df3f1648fad96454387	0	0	0	0	0	0	0	0	23
618b413067030f79b4c9c1d1011235e6	0	0	0	0	9	0	0	0	0
764443191d5e35f4eb2000107dcc2eda	0	6	0	0	0	0	0	0	0
6c32af8dedb4329af7f0345963d17b80	0	0	0	0	8	0	0	0	0
a9ab6806b642e62cdc4244185f0962dc	0	0	0	12	0	0	0	0	0
dbd24c85e618326c89184c7a12b4eaab	0	0	0	0	0	2	0	0	0
1eed17466e9b1a36340cc42c90219ce9	0	6	0	0	0	0	0	0	0
2f0a0f98356aac3a378fd694eab571d2	0	2	0	0	0	0	0	0	0
736c2e02aa4ed867be691de71c3c4e72	0	0	0	0	0	0	0	111	0
6d415c133466a1d78545642e9a3196e1	0	0	0	0	0	0	0	0	79
476f0e9a6cb42d12ebf2af2725644e8f	0	0	0	0	0	0	0	84	0
969b5cda199c13ccca303fb8b8e3a585	4	0	0	0	0	0	0	0	0
0d1a21d8baa81b6f15a325b1e8c38749	0	0	0	0	4	0	0	0	0
573a4ae98d471a3521003a8349c683bc	0	0	3	0	0	0	0	0	0
f447715ad94f9822b29211eda2b2c936	0	0	0	0	0	0	14	0	0
5bf282d4158e62d50d2d54a6983c1ca6	0	0	0	0	0	0	0	0	3
092c9b0a74da89229cc5e9bbd605849f	0	0	0	0	0	0	64	0	0
8c74d7290fe467a07ed0a3abbda9601a	0	0	0	0	0	44	0	0	0
ade235bef26c4a42620150953256a884	0	0	0	6	0	0	0	0	0
9b360386747af64b9888e164ff985123	0	0	19	0	0	0	26	0	0
7756fb3991ea7e9c7604e0f906e9c320	0	0	0	0	0	5	0	0	0
d1e14a9f34a3f8cc52a7ab429c299484	0	0	0	0	0	0	0	0	7
bc3bc11c8c0d26d847cf6b5d943f3974	9	0	0	0	0	0	0	0	0
508bdd0ba72e8a9951bf077274848ec6	0	0	0	0	0	0	0	0	8
7c9e862f8dad5c94c9459520d74e472d	0	0	0	0	0	11	0	0	0
d71d2f1627f069425970a344abb9130b	0	0	0	0	0	0	0	17	0
3926d55fe6b78dd7428d68383d036d26	0	0	8	0	0	0	0	0	0
6986859f62c4c6946934676b944dc418	0	0	14	0	0	0	0	0	0
58b7d03adf9babf61b3affdb6c7dd46c	0	0	0	93	0	0	0	0	0
b8797a7232405ca930891357e0aa40cc	0	0	0	42	0	0	0	0	0
62ab222e2d823d0400f5bc4bb3d6c427	0	3	0	0	0	0	0	0	0
706a3bd5e7bf78896b677f64280ab613	4	0	0	0	0	0	0	0	0
b4422eab59bddf584e0150a6349be1c4	15	0	0	0	0	0	0	0	0
94abd792f169cc5881cf75ff68f35d4b	0	0	0	54	0	0	0	0	0
aeb102ad30b4ae29e88fe52ddee4ebc8	0	0	0	0	0	0	72	0	0
9d3114ac1b0af6632e108c4b7a9b0193	0	0	0	155	0	0	0	0	0
833bd82d7b9cb4c6a7d5447c70103945	0	0	0	0	0	0	21	0	0
0709c5f827a71faa0f0c42abae8ac651	0	0	0	0	3	0	0	0	0
6568aabb2a7a8047f437f435ce0e2755	0	0	0	0	0	0	0	0	62
6de1ddb9249cb011226322de81536943	0	0	0	0	0	0	0	9	0
01a1a68b4614d29c90a357c56b0739e7	0	0	0	17	0	0	0	0	0
1504d90ebcd3ee60cf5e70203711202c	0	0	0	0	0	0	8	0	0
53f823cf8f80cf43ece1faffc0e1fa72	0	0	0	0	0	8	0	0	0
4996b5cc218d1c16a307660071d273bb	0	20	0	0	0	0	0	0	0
068f2f296f69eeecb197af5725307f75	0	0	0	0	0	51	0	0	0
1f1e00aeef0523a29efb6f593e08c91b	35	0	0	0	0	0	0	0	0
92d5afe5c8a5b90cf9b0098c50379b6e	2	0	0	0	0	0	0	0	0
0f8d6d6161e8213a643e5437f6e8317c	0	0	0	0	0	0	2	0	0
2652cd1c2ffa171991a9a1ef48a5ab2e	0	0	0	0	0	20	0	0	0
4fe1227433885c7c30a703fa55918a08	0	0	56	0	0	0	0	0	0
daf92dea08a58cd775d791ddc6444dba	0	2	0	0	0	0	0	0	0
e7cf5073931c9ddba149bad0bd7a907d	0	0	0	136	0	0	0	0	0
9d7aa8dab910f4bfac7fb312fbb1f54a	0	0	0	0	0	3	0	0	0
f2e5ebd0917e7002e5025305f4d78adf	0	6	0	0	0	0	0	0	0
1bccaf971359a669f1a073ec543cd11e	0	3	0	0	0	0	0	0	0
eabab01de032178ae120dc85059c8ec1	0	0	0	0	0	0	25	0	0
fc43b0f26a344529ad5d06d1456c22a2	0	0	0	0	0	0	7	0	0
ac1e54a901fa994ddfe01ec1bf6f6f04	0	0	0	0	0	0	17	0	0
4e0d5b9580f86821741c8c80ec8e8eae	0	0	0	0	0	0	0	2	0
8b0a3e3e3d42a74e87fdc94ad89359b1	0	0	0	0	0	110	0	0	0
17a53b1eeb5d50581d37f282ff2d08bb	0	0	0	0	0	11	0	0	0
3f9be08f4d555fb6b326c458f7ac07a0	0	0	0	0	2	0	0	0	0
b0cf80bb5773cf40b87b30bde3ad0885	65	89	51	0	0	0	0	63	34
5727e1d2f5432e4156c6d63cf4946b98	0	0	0	14	0	0	0	0	0
95fcf6395a850b017e110f7d3c5bf385	0	0	0	3	0	0	0	0	0
f6b9f5bf1fb2927cd6271413b232e509	0	0	0	0	0	5	0	0	0
44a68a36042843c85dddb95befcd8291	4	0	0	0	0	0	0	0	0
470837a51841d3723b6b2b929ca63d10	0	0	0	0	0	63	0	0	0
89545759e2a41548cf540a669a5090c3	0	0	0	3	0	0	0	0	0
3fc0dfdd9f6adfa40afd5c04fc3b789d	0	0	0	0	0	0	2	0	0
0b5f68463e21ccaefa0f2eea1d29480b	0	0	0	0	0	0	8	0	0
323ba65ca244d30eb6905aa75c9378af	0	0	0	0	0	0	0	0	4
31135a08250e28a7e9ea79716ad4f8a8	0	0	0	0	22	0	0	0	0
cf546749281ad039fb0a895089fe9c29	0	68	0	0	0	0	0	0	0
8a7aea65c6e2212cdf1c2413ad663b35	6	0	0	0	0	0	0	0	0
9b58428b71e3d10119379b7ea04a7dc2	0	0	0	0	0	0	38	0	0
61fb74f8719ef279e556f7086d514248	0	0	0	0	0	0	0	0	3
3ce771a8e9f00d8d87e6dc2066bbf5dd	0	0	0	20	0	0	0	0	0
4c2ff338bc4a5bee2d77eccb520f654a	0	0	0	0	0	0	0	0	12
4f82b7d8b9c583f25602ea55b10a713b	0	8	0	0	0	0	0	0	0
630870ad46b551426276b2281b5d8a39	2	0	0	0	0	0	0	0	0
931fd2867902ef59c2a4634bb7688fba	0	0	0	0	0	0	7	0	0
10e5b98188ff9312faae6363f5ec35d0	0	0	0	0	0	0	0	0	15
3275af12766aa0110c0b8a46b2121a46	84	0	0	0	0	0	0	0	0
dacf59546e3c989e4315ef4c31db9a26	0	0	13	0	0	0	0	0	0
2b9ca04819bbda54d192d56a836cda55	0	0	0	0	0	0	0	0	3
e050bb9d246560aab88463c97b4ccafe	0	0	0	0	0	0	0	3	0
310c9e88afcc625a7f885379c3024524	59	0	0	0	0	0	0	0	0
f05e9f88d5f0d536a4d69641d20c902e	0	0	0	0	0	0	0	0	60
d88918dabd4b9ec417ba6ebfc64a34bb	0	0	0	0	0	0	0	0	2
c4ba0165c94fa32fd0fc1703cc52e7e7	0	0	0	0	0	0	0	27	0
c60bd0966e68cdd77b7007504440ca3f	0	0	0	0	0	0	0	4	0
9bf65eb961de6440f8fd00e5a87929c4	0	0	0	0	0	8	0	0	0
b89b2e8f191ecaafa0cbb628cb67c689	0	0	0	0	0	0	12	0	0
17c372e40ec6c03db47c2db9c278a96b	0	0	0	3	0	0	0	0	0
b4a2c0692eb3034b3ccd9cdb80c93184	0	0	0	0	0	0	107	0	0
d102d5d8ecd0a231e07b69122a4df2f3	33	0	0	0	0	0	0	0	0
b7e550c5124bde45986bce29f546880d	16	0	0	0	0	0	0	0	0
eb48191ad6cdbe00de34ac995cfe6d7a	0	0	0	0	82	0	0	0	0
84390205917e11c257e3e0c7683addbb	0	0	54	0	0	0	0	0	0
878c6abde29529e9cd5955a1d64e5450	0	0	0	35	0	0	0	0	0
40936f0378561b4d3f288ff2e490cf14	0	35	0	0	0	0	0	0	0
cb9c95f152c49f4593a86d86e02de5e5	0	0	0	0	0	0	0	5	0
1a9528e2f93f83ac08ca7aefb25a8346	0	0	0	0	0	0	7	0	0
49cf83a7b35e1c92cd3c44e35f80d90c	0	0	0	0	0	0	0	4	0
cb06e47b9a72656cb170af2f77a978e9	0	0	0	0	0	0	80	0	0
4c9ef56f92dc424b8a26d3ed4ea725a1	0	0	0	0	0	0	3	0	0
ae50829c47eed8ec767775a39e248597	0	0	0	0	4	0	0	0	0
4b4e853c0c27e3967c5b15338b84f506	0	0	27	0	0	0	0	0	0
cd5f679b715aae3b9932a81efca1328c	0	0	0	0	163	0	0	0	0
69d8adb34d3b9c87752e0a423e0baaf0	0	0	0	0	0	0	7	0	0
7b27e4485f94579a75f8f93615854dd9	0	0	0	0	0	4	0	0	0
fb57a210cbafcfeed17407b4465780fc	0	0	0	0	2	0	0	0	0
d64a8b0ce211f516f0efb2ee05cb5e9c	11	0	0	0	0	0	0	0	0
f4108a6063a0436701953bce25f73a31	0	0	0	0	3	0	0	0	0
f55801dd05ecccd036cb0ed0c65f2804	0	0	0	0	48	0	0	0	0
d9d28bd7adc6bfe002aa546a3170d3f0	0	0	0	21	0	0	0	0	0
d0a23ac131971e212ed17ba12fa4e88b	0	0	0	57	0	0	0	0	0
86e1a80187711c4ff438b46ba5194730	0	0	0	0	0	59	0	0	0
a5b517e04e705ee90cf8c864166ad0d3	5	0	0	0	0	0	0	0	0
